Аранжмани на Драган Ѓаконовски - Шпато на теми од други автори во фонотеката на Македонска Радио Телевизија (МРТВ),

"Податоците се преземени од монографијата за Драган Ѓаконовски - Шпато: Драган Ѓаконовски - Шпато Музичка Легенда, од Ванчо Димитров",
"http://issuu.com/dojrana/docs/spato_kompaktna_verzija",

наслов,изведувач,минути,сигнатура
Авизо,Дјук Елингтон,ТО на РТС,0.37,АЗ-57/
Без тебе,(+++),"Кире Костов, труба со ТО",2.38,З-7418/2
Би бап буги,(+++),Забавен анс. На РС,,АЗ-51/23
Билјана платно белеше,традиционална,Ревиски оркестар
Безввредниот Џо,традиционална,ГЗО на РС,,АЗ-50/15
Гагово расположение,Л. Митревски,Петар Каргов со ТО на МРТ,3.50,З-7615/2
Девојката од Ипанема,Жобим,"Димитар Маневски, труба",2.30,З-1850/2
Дење, ноќе,+++,"Божидар Ноев, труба",2.20,З-З-7683/2
Четири такта,Фречмен,"Томе Николовски, сакс со ТО",4.00,З-2814/3
Еден бакнеж,Петар Пешев,РО на РТЉ,,З-2057/3
Италијан,Т. Кутуњо,Зоран Јовановиќ,3.30,З-7642/1
Како сонцето што зајдува,Димитар Масевски,Оркестар
Кинеско момче,С. Беше,Забавен оркестар,,АЗ-4915
Квечерина,Димитар Масевски,Забавен оркестар,,АЗ-51/15
Луција,А. Бељан,Благоја Чешларов,3.55,З-3524/3
Лосел блуз,Џ. Ширинг,ГЗО на РС,,АЗ-50/18
Мисти,Е. Гарнер,"Зоран Јовановиќ, на кларинет",2.39,З-990/3
Меланхолична рапсодија,Р. Хендроф,ГЗО на РС,,АЗ-50/17
Мал цвет,С. Беше,"Томе Николовски, саксофон",,АЗ-49/14
Маскет рејмбл,Е. Ори,Забавен анс. на РС,,АЗ-51/20
Мојата улица,Александар Џамбазов,"Н. Кимовски, пијано",4.50,З-8189/2
Мојата драга Валентина,Р. Роџерс,"Зоран Јовановиќ, кларинет со ЗО",3.56,З-1784/4
Настоен сум за љубов,Д. Вернон,Забавен орк. на РС,,АЗ-48/19
Очи чорние,традиционална,ГЗО на РС,,АЗ-50/12
Почеток на почетокот,Кол Портер
Почнувам да гледам светлина,Ѓ. Елигтон,Зоран Јовановиќ со ТО на МРТ,3.38,З-2814/2
Последна солза,Димитар Масевски,"К. Рибарски, тромбон",,З-7256/1
Срцето трепери,Џексон,"Петар Лукиќ, гитара",4.02,З-1295/2
Се вљубив во својата сопруга,Назаро,"Н. Комовски, пијано",4.06,З-7672/2
Taste of Honey,W. Scott,Импулси/Благоја Чешларов
Trumpet bluz,L. Konyn
Твоето име е мојата љубов,К. Милев,Зоран Јовановиќ- Лима,3.30,З-5827/2
Виделина,Григор Копров
Во мојата улица,Александар Џамбазов
Vinter,A.Vivaldi,ТО на РТС
You make me feel soo young,M. Gordon
Зборувај тивко,Н. Рота,Благоја Чешларов
За Силвија Б,Т. Танев
Заспаниот град,Димитар Масевски
Зошто си во мојата близина,Александар Џамбазов,ТО на РТС/Зоран Јовановиќ,3.25,З-3529/3
Човекот што го сакам,G. Gershwin
Жалај моме,Петар Пешев
Четири такта,B. Gudman,"Томе Николовски, сакс"