Инструментални композиции од Драган Ѓаконовски - Шпато во фонотеката на Македонска Радио Телевизија (МРТВ),

"Податоците се преземени од монографијата за Драган Ѓаконовски - Шпато: Драган Ѓаконовски - Шпато Музичка Легенда, од Ванчо Димитров",
"http://issuu.com/dojrana/docs/spato_kompaktna_verzija",

наслов,изведувач,минути,сигнатура
Балада за Бранка,"Кирил Рибарски, тромбон",4.03,З-8526/1
Блузот на црната пејачка,"Зоран Јовановиќ, на кларинет",2.28,З-3415/2
Балада за гитара,"Петар Лукиќ, соло гитара со ТО на РТС",2.52,З-4698/2
Во спомен на старото пријателство,"Мики Асановиќ, тенор саксофон со ТО на РТС",3.40,З-7206/2
Гарача,ТO на РТС,3.54,З-7700/2
Гермијан,TО на РТС,4.05,З-7457/1
Гарача,ТО на РТС,3.54,З-7700/2
Главна тема,"Кирил Рибарски, тромбон ЗО",2.55,З-7687/2
Гитарата ја оплакува смртта на Муриета,,,
Дојди есен,Квартет Рибарски,2.40,З-7608/3
Дојди есен,ТО на РТС,3.30,З-9483/2
Дојди есен,"Ратко Спасовски-Пици, кларинет",3.17,АЗ-48/10
Далечен крај,"Благоја Чешларов, на труба",2.25,З-3905/3
Егзотика,Квартет Рибарски,2.32,З-7608/1
Елегија за тромбон,"Кирил Рибарски, тромбон",2.50,З-8605/1
Еден бакнеж,РО на РТЉ,3.10,З-6057/3
Ехо од далечното минато,ТО на РТС,5.00,З-4701/1
"Злато најдоа, злато во Калифорнија",РО на РТС,1.14,З-7690/2
Идила,"Никола Комовски, пијано",3.00,З-8189/
Импресија,"Петар Лукиќ, гитара со ТО на РТС",2.50,З-6668/1
Идила,"Благоја Чешларов, на труба",2.25,З-3905/2
Идила,Голем забавен оркестар (сним. 1959),3.15,АЗ-49/22
Индекс и љубов,Голем забавен оркестар (сним. 1959г),2.15,АЗ-49/21
Исповест на црномурестата жена,"Зоран Јовановиќ, кларинет",2.19,З-7415/1
Јас не сум ти,Џез ансамбл на РТС,7.27,З-3004/2
Кога си сама,РО на РТС,3.06,З-8227/1
Лајт мотив 1,РО,1.37,З-7690/1
Лајт мотив 2,РО,1.51,З-7693/2
Лајт мотив 3,"К. Божиновски, флејта со Ревиски оркестар",2.12,З-7693/3
Љубовна тема,"Кирил Рибарски, тромбон со Ревиски оркестар",2.25,З-7694/3
Љубовна тема,"К. Божиновски, флејта",2.17,З-7693/3
Лени,Квартет Рибарски,3.22,З-7474/1
Лени,ТО,3.18,ПМ-303/1
Летна ноќ задна ноќ,"Кире Костов, труба, Петар Каргов, тенор саксофон",3.04,З-7537/1
Мамбо Гарача,"Никола Ципушев, пијано, со Ритмичен секстет",4.00,АЗ-54/17
Марија,"Кокан Димушевски, вибрафон",5.36,З-8526/2
Ми вети ти (џез верзија),"Трио Лабиш, (арр. Зоран Павловски)",8.15,ПК-2137/1
Мими,"Слободан (Боби) Мицев, пијано",4.10,З-7493/2
Мими,"Кирил Рибарски, тромбон",405,З-8638/2
Младоста е убава,"Зоран Јовановиќ, кларинет",3.35,З-4253/3
Молчи една долина,Голем забавен оркестар (1960),3.10,АЗ-49/16
Молчи една долина,"Христо Христовски, гитара",3.26,ПМ-538/1
На игранка,"Т.О. на РТС, Божидар Ноев, труба, Петар Каргов, саксофон",5.08,З-7638/2
Народна игра,ЗО на РТС,1.38,З-7693/1
Осаменост (Молчи една долина),Квартет Рибарски,2.54,З-7608/2
Песна на русокосата пејачка,"Зоран Јовановиќ, баритон саксофон, Кирил Рибарски, тром-бон",3.15,З-7687/1
Поздрав до А. К. Жобим,"Рамиз Имеров, тромбон со ТО на РТС",4.12,З-7194/1
Поздрав до оркестарот,"ТО на РТС, солист Кире Костов, труба",4.30,З-3783/1
Радост на победата,Забавен ансамбл,1.35,З-7691/2
Reg Time,Диксиленд ансамбл,2.03,З-7691/1
Синтеза,"Кире Костов, флигелхорна",5.00,З-8212/1
Свечена игра,Забавен ансамбл,2.28,З-7693/4
"Тема број 1, Транскрипција на една замислена тема",ТО на РТС,4.12,З-7702/3
Титовиот пат,ТО на РТС,2.50,З-7964/2
Убава си како музика,"Љупчо Мирковски, труба",3.11,ПМ-1002/2
Чилеанска игра,Забавен оркестар на РТС,2.08,З-7690/3