Вокални композиции од Драган Ѓаконовски - Шпато во фонотеката на Македонска Радио Телевизија (МРТВ),

"Податоците се преземени од монографијата за Драган Ѓаконовски - Шпато: Драган Ѓаконовски - Шпато Музичка Легенда, од Ванчо Димитров",
"http://issuu.com/dojrana/docs/spato_kompaktna_verzija",

наслов,изведувач,минути,сигнатура
Акорди по едно лето,Цветанка Ласкова,3.00,З-4175/1
Блузот на црната пејачка,Мелпомени Корнети,1.57,З-7689/2
Без повраток,Импулси,2.10,З-2810/2
Во име на цветот,Катерина Таневска,3.38,З-7835/1
Гарача,Љупка Апостолова,3.44,АЗ-50/5
Глас од далечината,Импулси,2.50,3192/4
Далечен крај,Нина Спирова,2.33,З-3737/2
Далечен крај,Велко Трпчевски,3.40,АЗ-50/6
Даниела,"Љупка Димитровска (со ревиски оркестар на РТВ Љубљана, ар. Никица Калоѓера)",2.43,З-1558/3
Даниела,Импулси,2.37,З-2413/2
Ден љубен безповратен,Импулси,2.41,З-4543/2
Девојка и песна,Виолета Томовска,2.23,Л-7763/3
Дојди есен,Импулси,3.16,З-3880/3
Единствена песна,Маријана и Росана,2.18,З-7706/3
Ехо на љубовта,Момо Николовски,4.05,З-6357/2
Идила,Нина Спирова,2.25,ПК-2223/7
Идила секогаш што била,Квартет Мелос (Загреб),5.27,З-3404/2
Идила секогаш што била,Импулси,2.33,З-3741/1
Илјада проблеми,Импулси,2.16,З-1441/2
Играј и пеј калипсо,,,
Илузија,Зоран Георгиев,3.50,З-5991/1
Импресија,Импулси,2.43,З-4330/1
Индекс и љубов,Христо Крстевски,3.20,АЗ-49
Индијана,Томислав Маниќ,2.37,АЗ-52/10
Индијана,Љупка Апостолова,2.41,АЗ-55/4
Исповест на црномурестата жена,Нина Спирова,1.53,З-7334/1
Калипсо,Љупка Апостолова,3.12,АЗ-55/8
Катерина,Христо Крстевски,2.46,АЗ-61/25
"Кога пеам, кога љубам",Диме Поповски (со ГО на РТ Љубљана),2.40,АЗ-7/5
Кога си сама,Драган Мијалковски,2.51,З-3372/2
Копнеж за танц,Зафир Хаџиманов,2.35,Л-4569/3
Лени,"Диме Поповски (со ревиски оркестар на РТ Загреб, арр. Миливој Керблер)",3.30,З-478/1
Љубов од дамни дни,Зоран Георгиев,3.37,З-4548/2
Љубовна тема,Нина Спирова,2.18,З-7334/2
Ми вети ти,Диме Поповски (со Џез оркестарот на РТ Белград),3.10,З-477/3
Младоста е убава,Даниела Панчетовиќ,3.34,З-4530/2
Мојот дом,Драган Мијалковски,3.09,З-8226/1
Молчи една долина,"Блага Видец (сним. 1961, ГЗО на РС)",3.0,АЗ-60/12
Молчи една долина,Зоран Милосављевиќ,2.27,З-3527/2
Нашиот Титов ден,Сефедин Бајрамов,3.25,З-7879/1
Не ме заборавај,Цветанка Ласкова,3.00,З-6568/1
Неповратни дни,Љиљана Петровиќ,4.07,З-690/4
Неповратни дни,Импулси,2.55,З-2810/3
Незаборав,Веле Матевски,2.32,З-5897/2
Незаборав,Златко Давчевски,3.44,З-8387/1
Носталгија,Импулси,2.35,З-3866/1
Песна за Кузман Јосифовски - Питу,Мирјана Тасевска,2.43,З-4519/2
Песна за мојата пријателка,,,
Песна за вечната младост,Импулси,2.55,З-4533/2
Планината во спомени,Томислав Маниќ,3.00,З-3090/1
Последен ден на разделбата,Диме Поповски,3.00,З-2291/2
Прва љубов,Ванчо Тарабунов,4.00,З-3674/3
Роден крај,Импулси,2.45,З-4175/2
Само надежта останала,Цветанка Ласкова,3.12,З-5894/1
Се боревме за светла иднина,Драган Мијалковски,2.45,З-4355/1
Се боревме за светла иднина,група Македонија,2.45,З-5662/2
Сини очи,Веле Матевски,3.36,З-6362/1
Си одам и се враќам пак,Андреа Сопронов,2.48,З-3620/3
Снегулки,Импулси,3.32,З-1791/3
Со Тито и Партија,Љупчо Босилков,3.55,З-7489/2
Те ценам цени ме...,Импулси,,
Те носам во себе,Виолета Томовска,3.15,З-1360/2
Титовиот пат,Драган Мијалковски,2.50,З-7846/2
Тој и таа-јас и ти,група Пепел ин кри,2.45,З-6363/2
Убава си како музика,Драган Мијалковски,2.43,З-2618/2
Во името на цветот,,,
За нас почнува живот,Даниела Панчетовиќ,2.22,З-6779/2
Загатка,Импулси,2.30,З-4524/1
Зар сè одминало,Импулси,2.33,З-3682/3
Зар вистина е крај,Веле Матевски,3.43,З-3231/1
За тебе е сè,Импулси,2.05,З-2558/1
Знамето на мојот одред,Јасмина Беличанска,2.54,З-7840/2
Жолта липа,Томислав Маниќ,3.00,З-3090/2
Што се дворој без нас,Сефедин Бајрамов,3.33,З-8148/1